state,year,quarter,name,count,amount
andhra-pradesh,2023,3,Merchant payments,750265405,395042164275.0
andhra-pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
andhra-pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
andhra-pradesh,2023,3,Financial Services,361584,466791218.0
andhra-pradesh,2023,3,Others,334566,362636702.0
andhra-pradesh,2023,4,Merchant payments,822516631,427677236042.0
andhra-pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
andhra-pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
andhra-pradesh,2023,4,Financial Services,431705,535202901.0
andhra-pradesh,2023,4,Others,303079,348636223.0
andhra-pradesh,2024,1,Merchant payments,926373997,468462542792.0
andhra-pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212.0
andhra-pradesh,2024,1,Recharge & bill payments,106564415,106646957337.0
andhra-pradesh,2024,1,Financial Services,427720,634184211.0
andhra-pradesh,2024,1,Others,298240,316249197.0
andhra-pradesh,2024,2,Merchant payments,1068247800,526363160284.0
andhra-pradesh,2024,2,Peer-to-peer payments,748553253,2545133436133.0
andhra-pradesh,2024,2,Recharge & bill payments,112475183,109301693605.0
andhra-pradesh,2024,2,Financial Services,558924,799915709.0
andhra-pradesh,2024,2,Others,287140,324214357.0
andhra-pradesh,2024,3,Merchant payments,1186825685,569822447748.0
andhra-pradesh,2024,3,Peer-to-peer payments,802972632,2555369227206.0
andhra-pradesh,2024,3,Recharge & bill payments,100644574,100291968047.0
andhra-pradesh,2024,3,Financial Services,633983,857014703.0
andhra-pradesh,2024,3,Others,294488,304949785.0
andhra-pradesh,2024,4,Merchant payments,1319061337,622805238380.0
andhra-pradesh,2024,4,Peer-to-peer payments,872917507,2723665407515.0
andhra-pradesh,2024,4,Recharge & bill payments,101888917,104194996949.0
andhra-pradesh,2024,4,Financial Services,2255721,977916755.0
andhra-pradesh,2024,4,Others,322062,372009367.0
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.51
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.19
arunachal-pradesh,2018,1,Financial Services,416,58893.76
arunachal-pradesh,2018,1,Others,1990,1834252.82
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.54
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.44
arunachal-pradesh,2018,2,Financial Services,559,363761.8
arunachal-pradesh,2018,2,Others,2043,1842317.37
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.91
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.57
arunachal-pradesh,2018,3,Financial Services,507,72133.85
arunachal-pradesh,2018,3,Others,2039,2044708.97
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.23
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1
arunachal-pradesh,2018,4,Financial Services,561,100597.9
arunachal-pradesh,2018,4,Others,2222,2446271.97
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796895.0
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.45
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.4
arunachal-pradesh,2019,1,Financial Services,256,140622.87
arunachal-pradesh,2019,1,Others,2239,2730548.6
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.41
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.13
arunachal-pradesh,2019,2,Financial Services,267,160660.88
arunachal-pradesh,2019,2,Others,3046,3880742.52
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.25
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07
arunachal-pradesh,2019,3,Financial Services,864,64089.11
arunachal-pradesh,2019,3,Others,2758,3419197.42
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.93
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69
arunachal-pradesh,2019,4,Financial Services,314,305379.8
arunachal-pradesh,2019,4,Others,2376,3421174.01
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.41
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.13
arunachal-pradesh,2020,1,Financial Services,470,337812.95
arunachal-pradesh,2020,1,Others,2261,2943873.07
